QualifiedName	Name	Complexity	Coupling	Size	Lack of Cohesion	CBO	RFC	SRFC	DIT	NOC	WMC	LOC	CMLOC	NOF	NOSF	NOM	NOSM	NORM	LCOM	LCAM	LTCC	ATFD	SI	Coverage	
weka.core.MultiInstanceCapabilitiesHandler	MultiInstanceCapabilitiesHandler	low	low	low	low	1	1	0	1	0	1	3	1	0	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.NoSupportForMissingValuesException	NoSupportForMissingValuesException	medium-high	low	low	low	0	2	0	4	0	2	7	4	0	1	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.NominalAttributeInfo	NominalAttributeInfo	low	low	low	low	2	8	7	1	1	6	24	21	2	0	1	0	0	0.0	0.0	0.0	0	0.0		
weka.core.NormalizableDistance	NormalizableDistance	high	low-medium	high	medium-high	7	100	51	1	4	104	306	294	6	4	43	0	0	0.862	0.77	0.94	0	0.0		
weka.core.Optimization	Optimization	very-high	low	medium-high	low-medium	5	43	27	1	2	226	762	697	10	2	11	1	0	0.861	0.611	0.75	0	0.0		
weka.core.Option	Option	very-high	low-medium	medium-high	medium-high	7	143	70	1	0	121	359	352	4	1	6	14	0	0.84	0.706	0.962	0	0.0		
weka.core.OptionHandler	OptionHandler	low-medium	low	low	low	2	73	7	1	154	4	11	4	0	0	3	1	0	0.0	0.5	0.0	0	0.0		
weka.core.OptionHandlerJavadoc	OptionHandlerJavadoc	low-medium	low	low-medium	low-medium	5	86	30	2	0	17	66	62	1	2	8	1	0	0.833	0.639	0.964	0	0.0		
weka.core.OptionMetadata	OptionMetadata	low	low	low	low	0	7	0	1	0	7	11	7	0	0	7	0	0	0.0	0.0	0.0	0	0.0		
weka.core.PartitionGenerator	PartitionGenerator	low	low	low	low	2	3	0	1	6	3	4	3	0	0	3	0	0	0.0	0.444	0.0	0	0.0		
weka.core.PluginManager	PluginManager	medium-high	low	low-medium	low-medium	3	79	48	1	0	66	194	187	0	4	0	32	0	0.727	0.652	0.946	0	0.0		
weka.core.PropertyPath	PropertyPath	low-medium	low	low-medium	low	1	27	21	1	0	22	198	102	0	0	1	8	0	0.0	0.333	0.0	0	0.0		
weka.core.ProtectedProperties	ProtectedProperties	medium-high	low	low	medium-high	1	16	7	4	0	11	43	40	1	1	8	0	4	0.75	0.708	0.893	0	2.0		
weka.core.Queue	Queue	low	low	low-medium	low	1	17	11	1	0	19	84	59	3	1	8	1	0	0.583	0.593	0.472	0	0.0		
weka.core.RandomSample	RandomSample	low-medium	low	low-medium	low	0	11	10	1	0	27	65	64	0	0	0	5	0	0.0	0.067	0.0	0	0.0		
weka.core.RandomVariates	RandomVariates	low-medium	low	low-medium	low-medium	2	23	17	2	0	44	152	150	0	1	7	1	1	0.0	0.675	0.0	0	0.286		
weka.core.Randomizable	Randomizable	low	low	low	low	0	2	0	1	24	2	3	2	0	0	2	0	0	0.0	0.25	0.0	0	0.0		
weka.core.Range	Range	medium-high	low	low-medium	low-medium	1	44	37	1	0	71	189	186	4	1	17	2	0	0.66	0.605	0.791	0	0.0		
weka.core.RelationalAttributeInfo	RelationalAttributeInfo	low-medium	low	low	low	1	1	0	2	0	1	5	3	1	0	1	0	0	0.0	0.0	0.0	0	0.0		
